id,type,group,name
0,1,activeMarker,btSns
1,1,activeMarker,i2cOk
2,1,motion,motion
3,5,motion,deltaX
4,5,motion,deltaY
5,2,motion,shutter
6,1,motion,maxRaw
7,1,motion,minRaw
8,1,motion,Rawsum
9,1,motion,outlierCount
10,1,motion,squal
11,7,motion,std
12,7,ring,fadeTime
13,1,loco,mode
14,7,loco,spiWr
15,7,loco,spiRe
16,2,ranging,state
17,7,ranging,distance0
18,7,ranging,distance1
19,7,ranging,distance2
20,7,ranging,distance3
21,7,ranging,distance4
22,7,ranging,distance5
23,7,ranging,distance6
24,7,ranging,distance7
25,7,ranging,pressure0
26,7,ranging,pressure1
27,7,ranging,pressure2
28,7,ranging,pressure3
29,7,ranging,pressure4
30,7,ranging,pressure5
31,7,ranging,pressure6
32,7,ranging,pressure7
33,7,tdoa2,d7-0
34,7,tdoa2,d0-1
35,7,tdoa2,d1-2
36,7,tdoa2,d2-3
37,7,tdoa2,d3-4
38,7,tdoa2,d4-5
39,7,tdoa2,d5-6
40,7,tdoa2,d6-7
41,7,tdoa2,cc0
42,7,tdoa2,cc1
43,7,tdoa2,cc2
44,7,tdoa2,cc3
45,7,tdoa2,cc4
46,7,tdoa2,cc5
47,7,tdoa2,cc6
48,7,tdoa2,cc7
49,2,tdoa2,dist7-0
50,2,tdoa2,dist0-1
51,2,tdoa2,dist1-2
52,2,tdoa2,dist2-3
53,2,tdoa2,dist3-4
54,2,tdoa2,dist4-5
55,2,tdoa2,dist5-6
56,2,tdoa2,dist6-7
57,1,twr,rangingSuccessRate0
58,1,twr,rangingPerSec0
59,1,twr,rangingSuccessRate1
60,1,twr,rangingPerSec1
61,1,twr,rangingSuccessRate2
62,1,twr,rangingPerSec2
63,1,twr,rangingSuccessRate3
64,1,twr,rangingPerSec3
65,1,twr,rangingSuccessRate4
66,1,twr,rangingPerSec4
67,1,twr,rangingSuccessRate5
68,1,twr,rangingPerSec5
69,2,oa,front
70,2,oa,back
71,2,oa,up
72,2,oa,left
73,2,oa,right
74,7,usd,spiWrBps
75,7,usd,spiReBps
76,7,usd,fatWrBps
77,3,motor,m1
78,3,motor,m2
79,3,motor,m3
80,3,motor,m4
81,6,motor,m1req
82,6,motor,m2req
83,6,motor,m3req
84,6,motor,m4req
85,7,pm,vbat
86,2,pm,vbatMV
87,7,pm,extVbat
88,2,pm,extVbatMV
89,7,pm,extCurr
90,7,pm,chargeCurrent
91,4,pm,state
92,1,pm,batteryLevel
93,1,radio,rssi
94,1,radio,isConnected
95,5,gyro,xRaw
96,5,gyro,yRaw
97,5,gyro,zRaw
98,7,gyro,xVariance
99,7,gyro,yVariance
100,7,gyro,zVariance
101,7,gyro,x
102,7,gyro,y
103,7,gyro,z
104,7,pid_attitude,roll_outP
105,7,pid_attitude,roll_outI
106,7,pid_attitude,roll_outD
107,7,pid_attitude,roll_outFF
108,7,pid_attitude,pitch_outP
109,7,pid_attitude,pitch_outI
110,7,pid_attitude,pitch_outD
111,7,pid_attitude,pitch_outFF
112,7,pid_attitude,yaw_outP
113,7,pid_attitude,yaw_outI
114,7,pid_attitude,yaw_outD
115,7,pid_attitude,yaw_outFF
116,7,pid_rate,roll_outP
117,7,pid_rate,roll_outI
118,7,pid_rate,roll_outD
119,7,pid_rate,roll_outFF
120,7,pid_rate,pitch_outP
121,7,pid_rate,pitch_outI
122,7,pid_rate,pitch_outD
123,7,pid_rate,pitch_outFF
124,7,pid_rate,yaw_outP
125,7,pid_rate,yaw_outI
126,7,pid_rate,yaw_outD
127,7,pid_rate,yaw_outFF
128,3,colAv,latency
129,7,ctrlINDI,cmd_thrust
130,7,ctrlINDI,cmd_roll
131,7,ctrlINDI,cmd_pitch
132,7,ctrlINDI,cmd_yaw
133,7,ctrlINDI,r_roll
134,7,ctrlINDI,r_pitch
135,7,ctrlINDI,r_yaw
136,7,ctrlINDI,u_act_dyn_p
137,7,ctrlINDI,u_act_dyn_q
138,7,ctrlINDI,u_act_dyn_r
139,7,ctrlINDI,du_p
140,7,ctrlINDI,du_q
141,7,ctrlINDI,du_r
142,7,ctrlINDI,ang_accel_ref_p
143,7,ctrlINDI,ang_accel_ref_q
144,7,ctrlINDI,ang_accel_ref_r
145,7,ctrlINDI,rate_d[0]
146,7,ctrlINDI,rate_d[1]
147,7,ctrlINDI,rate_d[2]
148,7,ctrlINDI,uf_p
149,7,ctrlINDI,uf_q
150,7,ctrlINDI,uf_r
151,7,ctrlINDI,Omega_f_p
152,7,ctrlINDI,Omega_f_q
153,7,ctrlINDI,Omega_f_r
154,7,ctrlINDI,n_p
155,7,ctrlINDI,n_q
156,7,ctrlINDI,n_r
157,7,ctrlMel,cmd_thrust
158,7,ctrlMel,cmd_roll
159,7,ctrlMel,cmd_pitch
160,7,ctrlMel,cmd_yaw
161,7,ctrlMel,r_roll
162,7,ctrlMel,r_pitch
163,7,ctrlMel,r_yaw
164,7,ctrlMel,accelz
165,7,ctrlMel,zdx
166,7,ctrlMel,zdy
167,7,ctrlMel,zdz
168,7,ctrlMel,i_err_x
169,7,ctrlMel,i_err_y
170,7,ctrlMel,i_err_z
171,7,controller,cmd_thrust
172,7,controller,cmd_roll
173,7,controller,cmd_pitch
174,7,controller,cmd_yaw
175,7,controller,r_roll
176,7,controller,r_pitch
177,7,controller,r_yaw
178,7,controller,accelz
179,7,controller,actuatorThrust
180,7,controller,roll
181,7,controller,pitch
182,7,controller,yaw
183,7,controller,rollRate
184,7,controller,pitchRate
